circrna_id,pathway,pvalue,enrichment_score,gene_count
circ_00000,JAK-STAT,0.004077841787906173,2.529399294452758,19
circ_00001,PKR,0.44009880071420515,1.3364331231701163,32
circ_00002,RIG-I,0.04341450753584025,1.1860623947245834,43
circ_00003,TLR7/8,0.21636096928323456,0.8471367753312105,23
circ_00004,TLR7/8,0.007186845379666517,1.9085031772197847,65
circ_00005,PKR,0.42832481205895434,0.5380951185175238,7
circ_00006,NF-κB,0.35803513458624003,1.4002206007514382,54
circ_00007,PKR,0.049562766391941626,3.846275574790864,20
circ_00008,PKR,0.20335316956989008,0.694679460176875,86
circ_00009,cGAS-STING,0.4086293926169222,0.8504745555268949,19
circ_00010,MDA5,0.4178360766499295,1.4538217750956317,9
circ_00011,TLR7/8,0.14878691888811235,0.8094252149428703,13
circ_00012,cGAS-STING,0.022762640827159633,8.610727583654315,46
circ_00013,PKR,0.034411211118513925,5.843942168295308,69
circ_00014,RIG-I,0.015605121089320235,9.716742668082935,24
circ_00015,PKR,0.15262864267084192,1.2439922737182847,84
circ_00016,RIG-I,0.4982311563401103,1.0774701028391835,85
circ_00017,RIG-I,0.03299688589723208,2.2351906085165796,24
circ_00018,NF-κB,0.3605902368016848,1.2905569752670418,31
circ_00019,RIG-I,0.04861296865423219,7.895424622526782,51
circ_00020,RIG-I,0.45040367110613166,1.2366080974575362,22
circ_00021,JAK-STAT,0.045883705957048306,5.475323576112226,14
circ_00022,JAK-STAT,0.2751007866392417,1.0293645421690694,34
circ_00023,JAK-STAT,0.00311213903508353,6.434034749097192,20
circ_00024,TLR7/8,0.2851131411458448,0.5634975801269839,21
circ_00025,RIG-I,0.01081337488555182,4.916520193190866,32
circ_00026,MDA5,0.040081215018194685,5.321018572805567,53
circ_00027,TLR7/8,0.014102990514410434,4.447542587230394,16
circ_00028,RIG-I,0.018416172427843925,3.461814409656095,6
circ_00029,cGAS-STING,0.04175330016456799,6.328125260549816,17
circ_00030,RIG-I,0.4667071715669353,1.4679636445162152,21
circ_00031,cGAS-STING,0.24696949898260856,0.7852218174669985,19
circ_00032,TLR7/8,0.4921819742455761,0.8171238515949367,44
circ_00033,JAK-STAT,0.03847348518298213,8.809788702367513,82
circ_00034,NF-κB,0.30117719679675614,0.6044442359907093,59
circ_00035,TLR7/8,0.276931340757422,1.2094542818075296,97
circ_00036,JAK-STAT,0.02461218345024682,6.405979041658132,16
circ_00037,RIG-I,0.04650083514880439,7.861242088652016,91
circ_00038,JAK-STAT,0.04595825624949112,4.486434542125227,88
circ_00039,cGAS-STING,0.035730696392047054,6.144259480754108,14
circ_00040,JAK-STAT,0.034454925070671015,7.68186790393446,25
circ_00041,JAK-STAT,0.19090886106628893,1.1156332464522665,65
circ_00042,NF-κB,0.03507262659207137,9.670695478846001,57
circ_00043,JAK-STAT,0.4880996747221812,0.6114362797509362,41
circ_00044,PKR,0.020538870471587586,2.756332144697163,6
circ_00045,JAK-STAT,0.49411345877659096,1.0388514976580105,57
circ_00046,NF-κB,0.354566799372365,0.6050704300890482,87
circ_00047,RIG-I,0.024812891851920836,2.4587348829941353,62
circ_00048,TLR7/8,0.0025658993660261048,9.008068683052802,10
circ_00049,MDA5,0.043767642724331916,7.033379705525517,98
circ_00050,MDA5,0.025525904868058412,5.652840852917905,49
circ_00051,RIG-I,0.00640135464932106,5.4961237831555065,93
circ_00052,PKR,0.016743819073793298,6.241241319981744,8
circ_00053,JAK-STAT,0.3902420696806109,0.6047766196219403,99
circ_00054,NF-κB,0.2069730581745274,0.5195805764857753,46
circ_00055,JAK-STAT,0.02100616602656328,8.811498094036933,51
circ_00056,cGAS-STING,0.04251730189721431,9.502332666731638,77
circ_00057,TLR7/8,0.35545117034871454,1.4812017221370706,77
circ_00058,TLR7/8,0.4880303948648429,0.7652113185294738,24
circ_00059,cGAS-STING,0.009021402070431502,1.052638815166294,57
circ_00060,TLR7/8,0.1087196292026727,0.7133039764849058,87
circ_00061,RIG-I,0.34488247111461734,0.7900125740797913,10
circ_00062,NF-κB,0.3937782777419765,1.2551335867549178,55
circ_00063,TLR7/8,0.3636813506685962,1.2141021792880549,9
circ_00064,NF-κB,0.4564991820704516,0.5697536271468934,75
circ_00065,PKR,0.014790481524559914,9.381171087079386,18
circ_00066,RIG-I,0.04529661037306976,6.570286050227715,91
circ_00067,NF-κB,0.00375173366620561,4.903813298084287,22
circ_00068,JAK-STAT,0.23024528013981935,0.6567332221544312,82
circ_00069,MDA5,0.3901553538368904,0.7877049486088301,63
circ_00070,RIG-I,0.04770227792888396,8.922435416565797,43
circ_00071,JAK-STAT,0.043761209451015436,2.8946373481197196,53
circ_00072,TLR7/8,0.17555230376327136,1.3876190297961164,99
circ_00073,cGAS-STING,0.040987706787637655,9.663133754981907,98
circ_00074,cGAS-STING,0.04163912986307276,4.875668057273433,89
circ_00075,RIG-I,0.01013809930165345,3.1191872949642727,94
circ_00076,NF-κB,0.04359432237731654,7.236043784309176,67
circ_00077,RIG-I,0.020899030277228024,8.829645491197185,27
circ_00078,cGAS-STING,0.02775440964879305,7.014301450624751,13
circ_00079,RIG-I,0.4151730141600585,0.8120673610679899,15
circ_00080,cGAS-STING,0.02704889614035357,9.497374379277215,48
circ_00081,JAK-STAT,0.03991130982436786,7.552383660568816,81
circ_00082,NF-κB,0.03358618632739377,1.1243697013355334,88
circ_00083,PKR,0.15841565396478857,0.8785560276284101,72
circ_00084,MDA5,0.10657142677693413,0.7997910571975833,71
circ_00085,NF-κB,0.03608141036993724,9.51628079030292,6
circ_00086,JAK-STAT,0.04663887764184238,3.7365332011543235,34
circ_00087,PKR,0.01574693162788569,3.699302462575803,22
circ_00088,TLR7/8,0.03674228215391688,5.867475555659257,61
circ_00089,TLR7/8,0.33516511158518936,0.5409391164571941,33
circ_00090,RIG-I,0.006273527781546079,5.740376287000687,26
circ_00091,TLR7/8,0.04062949575607875,9.135234753054359,61
circ_00092,cGAS-STING,0.03539631288592013,2.9130978437136825,5
circ_00093,NF-κB,0.009430818068908352,2.5695543846827325,57
circ_00094,cGAS-STING,0.3221610130466185,1.1902779658828333,16
circ_00095,TLR7/8,0.0019042278924276694,2.779613943614531,44
circ_00096,NF-κB,0.04101690590412151,8.65184504375105,66
circ_00097,NF-κB,0.41945880174686023,0.6730410891584833,76
circ_00098,NF-κB,0.27473974092805165,1.4437617059290357,50
circ_00099,MDA5,0.021993619425450563,4.319766101502125,50
circ_00100,TLR7/8,0.018724064757253526,1.6796069055129963,33
