circrna_id,pathway,pvalue,enrichment_score
circ_00000,MDA5,0.02159643323912336,4.031321468553499
circ_00001,TLR7/8,0.004270857313202843,4.7436672167794995
circ_00002,TLR7/8,0.039784799076389765,4.891938407586791
circ_00003,JAK-STAT,0.03803292520944773,3.1083796401187467
circ_00004,cGAS-STING,0.02867821897548387,6.8076833869551265
circ_00005,JAK-STAT,0.023613472797574524,5.85310646084795
circ_00006,MDA5,0.009142594343614995,9.496854981539006
circ_00007,JAK-STAT,0.0463346197466215,3.034705435760255
circ_00008,JAK-STAT,0.00947466317332005,8.400568631948357
circ_00009,RIG-I,0.009067086457804328,3.0189778946606456
circ_00010,RIG-I,0.020163431532128993,9.048889547835392
circ_00011,TLR7/8,0.023315612529106123,8.733567523809432
circ_00012,PKR,0.03952103487705236,1.7265994709953638
circ_00013,MDA5,0.034318375265093175,4.463076135524011
circ_00014,PKR,0.019615309899057094,8.454564724471243
circ_00015,JAK-STAT,0.012838701969621228,9.327668560631938
circ_00016,cGAS-STING,0.03013556406406981,8.51637700993355
circ_00017,JAK-STAT,0.016573470751027164,9.151564133582328
circ_00018,NF-κB,0.007251639603595589,6.3510220915661435
circ_00019,TLR7/8,0.017070482973207585,2.1739243741556935
circ_00020,RIG-I,0.04629136677926197,5.335401565397614
circ_00021,cGAS-STING,0.03464751558742745,5.572650880518371
circ_00022,RIG-I,0.03398848853911898,2.7669896238789367
circ_00023,PKR,0.011145919015954613,6.397606229519363
circ_00024,PKR,0.04214485309473806,8.036662164638173
circ_00025,RIG-I,0.01656413173731054,5.5086118702181395
circ_00026,TLR7/8,0.009244068803603279,6.436381815169728
circ_00027,JAK-STAT,0.034703631664953695,7.467225043179501
circ_00028,RIG-I,0.01532493921699524,4.543781934160311
circ_00029,TLR7/8,0.03764828090681505,4.428099390009361
circ_00030,MDA5,0.00879742895089821,6.8505364210834525
circ_00031,PKR,0.01359742058245635,4.007431195412725
circ_00032,PKR,0.03446158852731758,2.814164495402113
circ_00033,RIG-I,0.013764945499803661,5.003403751887417
circ_00034,JAK-STAT,0.01748931924173149,8.99239847782059
circ_00035,cGAS-STING,0.01324800145755992,7.578204597474997
circ_00036,MDA5,0.014825482817833694,8.892862879333762
circ_00037,JAK-STAT,0.0010092753722544029,9.07727039295432
circ_00038,cGAS-STING,0.02582188753697498,7.531205757230968
circ_00039,PKR,0.034546294080333696,8.97838808223285
circ_00040,MDA5,0.02476095484767847,7.528424366627861
circ_00041,cGAS-STING,0.0196758441934092,8.562397739480774
circ_00042,JAK-STAT,0.017437211504334787,5.622144683969734
circ_00043,TLR7/8,0.016406822671641844,7.961172774388053
circ_00044,PKR,0.04047210473554746,2.6869304840407247
circ_00045,TLR7/8,0.025769348164985915,9.631983508200474
circ_00046,MDA5,0.032104779075650985,5.029885022670702
circ_00047,JAK-STAT,0.009625244364606777,8.42272713593772
circ_00048,JAK-STAT,0.021746201973186056,8.225763759990876
circ_00049,PKR,0.020676570650853862,2.525102140782151
circ_00050,MDA5,0.03231108315282993,1.3162752022000304
circ_00051,RIG-I,0.041219607498867133,4.395025419501185
circ_00052,MDA5,0.04843306984903183,4.100221500137022
circ_00053,cGAS-STING,0.01207198834170025,3.3536773558241837
circ_00054,PKR,0.003658501082252706,8.380038714517022
circ_00055,JAK-STAT,0.028146519501737365,9.814899000037284
circ_00056,RIG-I,0.039019720843010794,2.361260514065467
circ_00057,NF-κB,0.049828964237467376,8.590193174756095
circ_00058,RIG-I,0.01286870080700329,7.727633897268234
circ_00059,PKR,0.03611585280631039,6.865066897614702
circ_00060,RIG-I,0.020104224811431565,9.159676444040848
circ_00061,PKR,0.033396101978667644,3.777507628928063
circ_00062,PKR,0.030594791374910082,7.032995075432942
circ_00063,cGAS-STING,0.01295415483629343,4.387095769620951
circ_00064,JAK-STAT,0.030042789229798545,3.4123581987108147
circ_00065,cGAS-STING,0.04954952027446741,3.932089331523618
circ_00066,MDA5,0.04214077681186625,1.2500870993265112
circ_00067,NF-κB,0.03372061628420587,6.850804738182454
circ_00068,RIG-I,0.009766756574712415,2.8785715285971385
circ_00069,MDA5,0.038501053357349775,3.424175262933088
circ_00070,cGAS-STING,0.0018496541859966426,6.084844025096339
circ_00071,PKR,0.034068350632951966,1.7425130230160257
circ_00072,NF-κB,0.02773597925517245,9.134268103486692
circ_00073,PKR,0.02791123244556584,6.3436648314426085
circ_00074,JAK-STAT,0.022767172492990307,7.747848870214829
circ_00075,RIG-I,0.01945890234719939,7.732783996208806
circ_00076,PKR,0.03329910789675171,7.275190093985161
circ_00077,TLR7/8,0.007695846322103507,3.912905277225498
circ_00078,JAK-STAT,0.04677726504769445,4.155283358827918
