circrna_id,cell_type,expression_mean,expression_std,detection_rate
circ_00000,CD4+ T cells,9.800534178700294,0.3964254707668877,0.9704598666683163
circ_00001,B cells,4.908403574256194,1.717823736059974,0.7263357584461473
circ_00002,NK cells,4.769658901439478,0.8986267098417968,0.4527616836906504
circ_00003,NK cells,9.416641169546349,0.33656446941613805,0.2582429370657499
circ_00004,Dendritic cells,6.213215189535468,0.23497822396967627,0.6082463479712895
circ_00005,CD4+ T cells,5.353770590591153,0.5540548862674481,0.643923626691102
circ_00006,NK cells,6.1822006473568205,1.129983555379684,0.26176818408655933
circ_00007,NK cells,2.6755679215535055,1.9954077187343904,0.9106532824183445
circ_00008,B cells,4.9207399672128505,0.31392082744892313,0.5851034942339078
circ_00009,Dendritic cells,4.194622462369534,0.2808361008697058,0.8673100654334611
circ_00010,B cells,6.7496327060005665,0.1757425138760107,0.8034769859280433
circ_00011,B cells,2.3970094371211594,0.0644632480814431,0.7731857475213995
circ_00012,NK cells,9.945151195842998,1.0929482501459835,0.7677175187123125
circ_00013,Macrophages,4.600506403110629,1.6264963574142164,0.6949865617556454
circ_00014,CD8+ T cells,9.253398190923308,1.3779916577904907,0.12219843587694848
circ_00015,Dendritic cells,2.504316748731191,0.2168842667891977,0.5351106817672083
circ_00016,Dendritic cells,7.970628623070558,0.4421931588578121,0.31955421302644116
circ_00017,CD8+ T cells,8.895270148971765,0.42608776580358954,0.8039082123032153
circ_00018,Dendritic cells,9.017899045060638,0.8773073436322036,0.7174972442450918
circ_00019,NK cells,6.612796585845259,0.36454592148336706,0.9438744962398578
circ_00020,B cells,8.142889608651194,0.3873936043850006,0.6619405861159942
circ_00021,CD8+ T cells,2.1019347164009927,0.6667806738708923,0.11262179308244127
circ_00022,CD8+ T cells,5.553791410906136,1.6371242477306558,0.1630388828678836
circ_00023,B cells,7.78106962821738,1.221015279880701,0.32092540750826454
circ_00024,B cells,2.2596920842897816,0.04239411062765486,0.8244437683296573
circ_00025,Macrophages,3.9669320901335836,0.31557363877232647,0.3993806024379781
circ_00026,B cells,9.269070597149812,1.7206288860118233,0.6565592085468509
circ_00027,Macrophages,0.5947226352366142,1.576362600350841,0.8829534311047353
circ_00028,NK cells,6.552659107410318,0.6391403601373968,0.7308319706290469
circ_00029,Macrophages,2.4212351790773514,0.6205379047101858,0.5399807987926436
circ_00030,Macrophages,0.11819584059369559,0.5259763069777756,0.5520196651723963
circ_00031,Macrophages,9.098630409568843,0.4623685675712994,0.7298553924054645
circ_00032,B cells,7.610396819334774,1.7741044230342091,0.5823583824144639
circ_00033,NK cells,6.541073284708809,1.437654089842041,0.48968853616288477
circ_00034,B cells,6.2535301630849505,1.6391035222377601,0.4983970860540131
circ_00035,NK cells,9.654580297265227,1.1169911700900712,0.855185128476606
circ_00036,CD4+ T cells,1.6427922311023524,1.5458240001539985,0.23272500112532615
circ_00037,Macrophages,2.4483606565491147,0.9246998447199191,0.8235693413268876
circ_00038,NK cells,8.683154237729182,0.48487683669134474,0.7442513867430616
circ_00039,Macrophages,2.781947652094602,1.109000664934831,0.516418166217204
circ_00040,B cells,0.029222900815009112,0.7204809667763921,0.36215335336518983
circ_00041,CD8+ T cells,8.189247867473227,0.6671806247063019,0.9672686460940851
circ_00042,NK cells,6.771626589255375,0.03978242600739845,0.882005403675301
circ_00043,NK cells,5.32515458551801,1.060413118747999,0.12865134577267526
circ_00044,Dendritic cells,5.507711353586232,1.6756399394955357,0.9660370621168687
circ_00045,CD4+ T cells,7.711112157214894,1.5299168904051554,0.3981598041719706
