circrna_id,immunogenicity,immune_score,immunogenicity_class
circ_00000,1,0.35503043695984915,Medium
circ_00001,0,0.24243611386932507,Low
circ_00002,1,0.7578765867237889,High
circ_00003,0,0.2402847884047199,Low
circ_00004,1,0.5487492662119543,Medium
circ_00005,0,0.08399372809808525,Low
circ_00006,0,0.10355764346438268,Low
circ_00007,1,0.8320344831351245,High
circ_00008,0,0.061110374782882254,Low
circ_00009,0,0.10774530889986944,Low
circ_00010,0,0.14375456328891928,Low
circ_00011,0,0.2781533458438358,Low
circ_00012,1,0.5905466332783151,Medium
circ_00013,1,0.7718627250955741,High
circ_00014,1,0.7806787276926731,High
circ_00015,0,0.24878603979502664,Low
circ_00016,0,0.11565357142107668,Low
circ_00017,1,0.49032724358597507,Medium
circ_00018,0,0.19063309369785678,Low
circ_00019,1,0.3048185594943018,Medium
circ_00020,0,0.09387221826409446,Low
circ_00021,1,0.369535077086805,Medium
circ_00022,0,0.20968464854621569,Low
circ_00023,1,0.5626216875365503,Medium
circ_00024,0,0.2517541184940896,Low
circ_00025,1,0.9269631389224438,High
circ_00026,1,0.3641094424710985,Medium
circ_00027,1,0.6707587803295936,High
circ_00028,1,0.7909664757921415,High
circ_00029,1,0.6025857431158842,High
circ_00030,0,0.024589720393098657,Low
circ_00031,0,0.29423814162437545,Low
circ_00032,0,0.041510460266457,Low
circ_00033,1,0.6687650230908417,High
circ_00034,0,0.14416798225088043,Low
circ_00035,0,0.29517190916914904,Low
circ_00036,1,0.5794436977790042,Medium
circ_00037,1,0.31032096253603747,Medium
circ_00038,1,0.5178183978187423,Medium
circ_00039,1,0.42108776858096914,Medium
circ_00040,1,0.8472411862246787,High
circ_00041,0,0.184628674509878,Low
circ_00042,1,0.33525055206371196,Medium
circ_00043,0,0.21747935925588577,Low
circ_00044,1,0.3909624581279024,Medium
circ_00045,0,0.011392790270881957,Low
circ_00046,0,0.04065506206822621,Low
circ_00047,1,0.33845553308972937,Medium
circ_00048,1,0.782463496447929,High
circ_00049,1,0.8277125531802098,High
circ_00050,1,0.9747413720364061,High
circ_00051,1,0.928659733552029,High
circ_00052,1,0.5284376500308475,Medium
circ_00053,0,0.00911387398633875,Low
circ_00054,0,0.055657792577315755,Low
circ_00055,1,0.3102783368380513,Medium
circ_00056,1,0.6444253213126618,High
circ_00057,0,0.09401082192910738,Low
circ_00058,0,0.21294141398171157,Low
circ_00059,1,0.3494202026663172,Medium
circ_00060,0,0.044601769108854626,Low
circ_00061,0,0.24741694922307603,Low
circ_00062,0,0.05990562785045375,Low
circ_00063,0,0.2986549345770974,Low
circ_00064,0,0.20007161600526308,Low
circ_00065,1,0.32896514357932355,Medium
circ_00066,1,0.48030776324660696,Medium
circ_00067,1,0.6294201915905117,High
circ_00068,0,0.28134816209771496,Low
circ_00069,0,0.07576832138085762,Low
circ_00070,1,0.9417070770630123,High
circ_00071,1,0.3642157368682302,Medium
circ_00072,0,0.03513216945158334,Low
circ_00073,1,0.9132394705000599,High
circ_00074,1,0.5259778615787456,Medium
circ_00075,1,0.8044019054178347,High
circ_00076,1,0.5931724695001347,Medium
circ_00077,1,0.41251631606566086,Medium
circ_00078,1,0.49377495792165416,Medium
circ_00079,0,0.2583390729134344,Low
circ_00080,1,0.7720473094430762,High
circ_00081,1,0.5541140756611664,Medium
circ_00082,1,0.7594537339382138,High
circ_00083,0,0.1942747632812935,Low
circ_00084,0,0.20220688398048983,Low
circ_00085,1,0.8618339200765841,High
circ_00086,1,0.5924210832304847,Medium
circ_00087,1,0.6400173137720044,High
circ_00088,1,0.8584041163786795,High
circ_00089,0,0.1276065822986051,Low
circ_00090,1,0.6160466313154062,High
