gene_id,gene_name,gene_expression,tissue_specificity,gene_length,gc_content
ENSG00055203,HNRNPU,73.41392758638291,0.39654058888953025,144935,0.5800039935574859
ENSG00006645,ALOX15,78.7406320993737,0.8484479112006292,135527,0.48649036523163147
ENSG00013007,CDR2,56.75545051947475,0.9168835043892268,72836,0.46979446549610326
ENSG00091366,MAP3K13,79.73043740915584,0.5067055114522667,110326,0.6672795195370125
ENSG00065127,MBOAT2,80.05699646498275,0.4570086343142674,53248,0.45033317634152215
ENSG00013905,CDR2,40.11755061625865,0.9319511882162124,156302,0.3371445276040028
ENSG00066133,STAG2,15.307076760710736,0.5258365531566478,75870,0.5305437336565966
ENSG00022245,ANKS6,17.63906966700005,0.27460863110443356,8899,0.6973472466545261
ENSG00011868,MAP3K4,15.858834750411843,0.03734275361813166,168386,0.3517373237909814
ENSG00037761,HIPK3,4.243823746975073,0.5901323628792577,94258,0.6628253572055487
ENSG00063225,ANKS6,76.66997365958453,0.13884061988976304,85720,0.3680380013204938
ENSG00036458,MBOAT2,96.25900844758526,0.807041219734854,172042,0.69492082743843
ENSG00021378,HNRNPU,3.7510829338734175,0.5715009388209786,61254,0.4154137769789306
ENSG00029327,Sestd1,4.603839835690793,0.7044918580947129,115249,0.4002272578805961
ENSG00087262,STAG2,91.56852894187955,0.6231039472960002,105043,0.5800098178778816
ENSG00047092,CEP350,50.650968544348665,0.45511332520933456,1922,0.5110263188691734
ENSG00089389,ALOX15,17.95364754133695,0.8722356139944741,143486,0.4853851488038914
ENSG00049434,ALOX15,4.333289590836431,0.36307310394134285,138917,0.6173346553710222
ENSG00021268,RBPMS,69.46494225444411,0.24093525118083547,26395,0.3009905349092556
ENSG00054278,MAP3K4,36.49843500544358,0.5534173864194809,140889,0.3626672428626101
ENSG00098438,MAP3K4,32.916005301086415,0.7139684239557413,188936,0.6538463588998684
ENSG00015148,FOXP1,92.65144397010458,0.5364957813175955,12250,0.5602386987754535
ENSG00087977,EBP,67.61186619721794,0.756476476591528,36425,0.6851459079097345
ENSG00039013,Sestd1,25.1691047522706,0.7631193112273466,103073,0.3235296239431642
ENSG00073670,EBP,44.08157307030973,0.8986524855384502,183333,0.5510257384437147
ENSG00089766,MTR,53.238845172590935,0.09060970757227793,174708,0.6170878341860255
ENSG00060177,FAM58A,60.02831940167614,0.189700877948218,189748,0.39822615378627624
ENSG00056303,CEP290,43.57875100248366,0.20520072317529858,70140,0.5935454689671449
ENSG00040300,PPFIA2,4.675390865984408,0.1821451538227431,163977,0.6819135666488177
ENSG00055283,NCF2,62.978588686085125,0.8943993373320667,192907,0.6749222281339697
ENSG00056617,ZDHHC20,57.93991457999111,0.5781337536152671,147256,0.31873738371056143
ENSG00004378,TTN,43.52320575734042,0.8026934752898016,31887,0.3022163043844501
ENSG00010516,MTR,29.03738998990252,0.0707126384527822,98662,0.6903731896245867
